SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
204,2023-12-24,2088.07,2132.63,2082.93,(-21.03),(-0.99%),2227.16,1818.31,6971447862.00,16657287,126777
205,2023-12-21,2109.10,2154.51,2102.79,(-32.77),(-1.53%),2227.16,1818.31,6123502080.10,15268831,109748
206,2023-12-20,2141.87,2150.98,2110.76,(35.39),(1.68%),2227.16,1818.31,6873889168.60,17876297,109997
207,2023-12-19,2106.48,2107.32,2053.27,(45.98),(2.23%),2227.16,1818.31,5467720895.48,14032846,98389
208,2023-12-18,2060.49,2070.59,2025.68,(38.14),(1.88%),2227.16,1818.31,6741639045.70,19760868,112122
209,2023-12-17,2022.35,2022.82,1951.02,(27.75),(1.39%),2227.16,1818.31,5098336538.60,15790290,100064
210,2023-12-14,1994.60,1997.12,1973.42,(6.55),(0.32%),2227.16,1818.31,3075468382.91,8577993,66176
211,2023-12-13,1988.04,2017.22,1976.04,(2.60),(0.13%),2227.16,1818.31,3834028049.95,11005931,80593
212,2023-12-12,1985.44,1990.39,1940.15,(36.86),(1.89%),2227.16,1818.31,4259992751.40,11322226,94458
213,2023-12-11,1948.57,1989.71,1928.76,(-15.40),(-0.78%),2227.16,1818.31,4776060938.70,13328871,108875
214,2023-12-10,1963.98,1963.98,1866.06,(111.20),(6.00%),2227.16,1818.31,479992075.40,1331830,6962
215,2023-12-07,1852.77,1861.22,1834.64,(11.73),(0.63%),2227.16,1818.31,1774640359.10,4823660,52554
216,2023-12-06,1841.04,1841.80,1830.31,(3.33),(0.18%),2227.16,1818.31,1097731597.63,3143407,34473
217,2023-12-05,1837.71,1857.35,1833.02,(-10.10),(-0.54%),2227.16,1818.31,1505751845.70,4220762,38101
218,2023-12-04,1847.81,1859.32,1843.37,(-3.42),(-0.18%),2227.16,1818.31,1187531018.00,3353168,42924
219,2023-12-03,1851.23,1861.67,1837.85,(-7.29),(-0.39%),2227.16,1818.31,936396197.10,2829005,36399
220,2023-11-30,1858.53,1876.40,1851.32,(-18.06),(-0.96%),2227.16,1818.31,1167394428.90,3466079,36445
221,2023-11-29,1876.60,1907.07,1871.93,(-17.93),(-0.94%),2227.16,1818.31,1060484715.10,2967792,34159
222,2023-11-28,1894.53,1902.63,1885.23,(-2.17),(-0.11%),2227.16,1818.31,1225724209.10,3541933,46585
223,2023-11-27,1896.71,1926.52,1889.71,(-11.23),(-0.58%),2227.16,1818.31,1689911226.80,4865549,51971
224,2023-11-26,1907.95,1908.19,1852.67,(47.75),(2.56%),2227.16,1818.31,1994360426.00,5718517,65880
225,2023-11-23,1860.20,1864.59,1826.49,(9.87),(0.53%),2227.16,1818.31,1331645489.30,3909516,48058
226,2023-11-22,1850.33,1850.54,1816.40,(20.67),(1.13%),2227.16,1818.31,916799338.30,2672438,43137
227,2023-11-21,1829.65,1853.87,1821.38,(-23.82),(-1.28%),2227.16,1818.31,931894953.50,2650119,37008
228,2023-11-20,1853.48,1873.34,1846.52,(1.39),(0.07%),2227.16,1818.31,1090622978.00,3096135,44290
229,2023-11-09,1852.08,1866.93,1847.85,(-11.85),(-0.63%),2227.16,1818.31,815516613.80,2421236,27498
230,2023-11-08,1863.94,1869.01,1851.19,(5.17),(0.27%),2227.16,1818.31,680958273.70,2082034,29921
231,2023-11-07,1858.76,1864.85,1847.10,(11.22),(0.60%),2227.16,1818.31,891012379.10,2840699,40092
232,2023-11-06,1847.54,1850.58,1824.56,(21.30),(1.16%),2227.16,1818.31,882254528.40,2714957,46735
233,2023-11-05,1826.23,1846.77,1817.76,(-21.46),(-1.16%),2227.16,1818.31,904882011.40,2870502,38690
234,2023-11-02,1847.70,1859.48,1842.73,(-10.86),(-0.58%),2227.16,1818.31,785507839.00,2403731,45351
235,2023-11-01,1858.56,1872.19,1853.49,(-5.83),(-0.31%),2227.16,1818.31,719395605.70,2417243,77295
236,2023-10-31,1864.40,1878.98,1860.47,(-14.29),(-0.76%),2227.16,1818.31,545967899.60,1678738,25185
237,2023-10-30,1878.70,1878.83,1856.90,(3.04),(0.16%),2227.16,1818.31,616264746.80,1914557,29742
238,2023-10-29,1875.65,1903.91,1867.09,(-28.18),(-1.48%),2227.16,1818.31,734349230.80,2320063,33593
239,2023-10-19,1903.84,1915.98,1893.94,(-4.05),(-0.21%),2227.16,1818.31,843012396.90,2504304,25142
240,2023-10-18,1907.89,1908.40,1864.25,(43.27),(2.32%),2227.16,1818.31,866703641.10,2535290,31258
