Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NEPSE,09-05-24,1963.45,1970.55,1955.15,1966.23,0.28%,"3,121,286,362.59"
NEPSE,12-05-24,1973.79,1981.79,1961.89,1974.5,0.42%,"3,155,142,168.43"
NEPSE,13-05-24,1979.68,2000.55,1970.54,1998.89,1.23%,"3,408,608,157.91"
NEPSE,14-05-24,2000.7,2027.59,1999.14,2027.51,1.43%,"4,088,853,664.80"
NEPSE,15-05-24,2030.87,2048.29,2012.56,2017.97,-0.47%,"3,708,430,055.17"
NEPSE,16-05-24,2029.1,2029.1,2009.35,2018.76,0.03%,"4,233,816,403.71"
NEPSE,19-05-24,2044.81,2068.91,2028.07,2064.45,2.26%,"5,251,024,786.63"
NEPSE,20-05-24,2069.88,2121.01,2069.52,2092,1.33%,"5,854,354,212.19"
NEPSE,21-05-24,2095.57,2118.34,2081.07,2115.94,1.14%,"5,206,208,111.56"
NEPSE,22-05-24,2116.74,2140.24,2108.37,2131.49,0.73%,"5,687,680,912.80"
NEPSE,26-05-24,2135.25,2142.58,2106.36,2109.34,-1.03%,"4,441,538,471.70"
NEPSE,27-05-24,2111.67,2124.57,2096.83,2113.27,0.18%,"3,893,764,143.93"
NEPSE,29-05-24,2133.73,2153.39,2086.44,2089.42,-1.12%,"4,575,063,274.39"
NEPSE,30-05-24,2091.03,2100.11,2065.59,2069.53,-0.95%,"4,217,494,195.65"
NEPSE,02-06-24,2073.06,2086.44,2068.08,2083.04,0.65%,"4,311,015,629.95"
NEPSE,03-06-24,2087.8,2096.57,2073.02,2079.07,-0.19%,"4,004,070,243.60"
NEPSE,04-06-24,2087.03,2092.71,2077.56,2085.3,0.29%,"4,084,715,877.41"
NEPSE,05-06-24,2087.74,2091.88,2072.31,2079.71,-0.26%,"3,992,976,492.79"
NEPSE,06-06-24,2080.56,2089.1,2073.47,2077.78,-0.09%,"4,388,278,720.38"
NEPSE,09-06-24,2093.71,2093.71,2068.84,2073.19,-0.22%,"5,189,079,522.44"
NEPSE,10-06-24,2088.14,2089.15,2072.23,2082.09,0.42%,"5,490,609,782.28"
NEPSE,11-06-24,2099.77,2115.27,2086.81,2115.24,1.59%,"5,555,361,739.06"
NEPSE,12-06-24,2116.91,2134.12,2116.33,2121.62,0.30%,"5,894,089,245.13"
NEPSE,13-06-24,2125.31,2127.09,2106.25,2112.29,-0.43%,"6,443,029,208.11"
NEPSE,16-06-24,2116.03,2117.15,2090.13,2095.25,-0.80%,"5,472,253,551.85"
NEPSE,18-06-24,2098.6,2099.02,2073.91,2076.49,-0.89%,"4,055,737,884.32"
NEPSE,19-06-24,2077.75,2086.85,2073.34,2078.76,0.10%,"3,404,372,632.64"
NEPSE,20-06-24,2095.13,2095.38,2063.9,2068.31,-0.50%,"3,870,744,903.34"
NEPSE,23-06-24,2068.71,2079.76,2057.34,2062.94,-0.25%,"4,374,597,458.65"
NEPSE,24-06-24,2063.09,2079.36,2058.81,2066.16,0.15%,"5,077,255,116.15"
NEPSE,25-06-24,2067.32,2077.63,2067.03,2071.77,0.27%,"4,187,796,833.89"
NEPSE,26-06-24,2075.75,2077.26,2055.2,2060.16,-0.56%,"4,058,047,734.22"
NEPSE,27-06-24,2059.61,2059.97,2046.95,2051.92,-0.40%,"3,715,903,824.54"
